LastName,FirstName,BirthDate,BirthCountry,Gender,CitizenshipCountry,CitizenshipBasis,CitizenshipStartDate,PassportCountry,PassportIssueDate,PassportExpirationDate,CurrentEmploymentType,CurrentEmploymentTitle,CurrentEmploymentStartDate,EmailAddress,MilitaryServiceBranch,MilitaryDischargeType,MilitaryDischargeDate
Bramar,Mat,12/19/1981,Tethys,Male,Tethys,BirthNation,12/19/1981,Tethys,12/12/2007,12/11/2017,Administration,Assistant to CEO,7/1/2005,Mat.Bramar@gastech.com.kronos,,,
Ribera,Anda,11/17/1975,Tethys,Female,Tethys,BirthNation,11/17/1975,Tethys,6/15/2009,6/14/2019,Administration,Assistant to CFO,10/30/2009,Anda.Ribera@gastech.com.kronos,,,
Pantanal,Rachel,8/22/1984,Tethys,Female,Tethys,BirthNation,8/22/1984,Tethys,6/13/2013,6/12/2023,Administration,Assistant to CIO,10/1/2013,Rachel.Pantanal@gastech.com.kronos,,,
Lagos,Linda,1/26/1980,Tethys,Female,Tethys,BirthNation,1/26/1980,Tethys,11/1/2009,10/31/2019,Administration,Assistant to COO,2/1/2010,Linda.Lagos@gastech.com.kronos,,,
Mies Haber,Ruscella,4/26/1964,Kronos,Female,Kronos,BirthNation,4/26/1964,,,,Administration,Assistant to Engineering Group Manager,4/2/2003,Ruscella.Mies.Haber@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/1984
Forluniau,Carla,6/2/1981,Kronos,Female,Kronos,BirthNation,6/2/1981,,,,Administration,Assistant to IT Group Manager,3/7/2005,Carla.Forluniau@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2001
Lais,Cornelia,7/7/1991,Kronos,Female,Kronos,BirthNation,7/7/1991,,,,Administration,Assistant to Security Group Manager,12/22/2011,Cornelia.Lais@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2011
Onda,Marin,12/31/1969,Tethys,Male,Tethys,BirthNation,12/31/1969,Tethys,4/15/2005,4/14/2015,Engineering,Drill Site Manager,4/13/2003,Marin.Onda@gastech.com.kronos,,,
Borrasca,Isande,10/22/1979,Tethys,Female,Tethys,BirthNation,10/22/1979,Tethys,10/3/2008,10/2/2018,Engineering,Drill Technician,2/18/2004,Isande.Borrasca@gastech.com.kronos,,,
Calzas,Axel,9/13/1975,Tethys,Male,Tethys,BirthNation,9/13/1975,Tethys,1/31/2012,1/30/2022,Engineering,Drill Technician,7/17/1997,Axel.Calzas@gastech.com.kronos,,,
Orilla,Kare,2/29/1964,Tethys,Female,Tethys,BirthNation,2/29/1964,Tethys,7/1/2013,6/30/2023,Engineering,Drill Technician,11/12/2005,Kare.Orilla@gastech.com.kronos,,,
Orilla,Elsa,4/12/1982,Tethys,Female,Tethys,BirthNation,4/12/1982,Tethys,2/28/2010,2/27/2020,Engineering,Drill Technician,5/26/2004,Elsa.Orilla@gastech.com.kronos,,,
Tempestad,Brand,5/14/1979,Tethys,Male,Tethys,BirthNation,5/14/1979,Tethys,5/5/2012,5/4/2022,Engineering,Drill Technician,6/12/2004,Brand.Tempestad@gastech.com.kronos,,,
Azada,Lars,4/30/1973,Tethys,Male,Tethys,BirthNation,4/30/1973,Tethys,6/1/2011,5/31/2021,Engineering,Engineer,12/1/1995,Lars.Azada@gastech.com.kronos,TethanDefenseForceAir,GeneralDischarge,10/1/1995
Balas,Felix,3/4/1960,Tethys,Male,Tethys,BirthNation,3/4/1960,Tethys,4/15/2005,4/14/2015,Engineering,Engineer,9/2/2004,Felix.Balas@gastech.com.kronos,TethanDefenseForceNavy,HonorableDischarge,10/1/1988
Dedos,Lidelse,2/14/1952,Tethys,Female,Tethys,BirthNation,2/14/1952,Tethys,8/13/2008,8/12/2018,Engineering,Engineering Group Manager,3/1/2003,Lidelse.Dedos@gastech.com.kronos,,,
Frente,Birgitta,7/31/1976,Tethys,Female,Tethys,BirthNation,7/31/1976,Tethys,3/17/2006,3/16/2016,Engineering,Geologist,5/3/1999,Birgitta.Frente@gastech.com.kronos,,,
Nubarron,Adra,6/6/1968,Tethys,Female,Tethys,BirthNation,6/6/1968,Tethys,11/12/2007,11/11/2017,Engineering,Geologist,7/8/1994,Adra.Nubarron@gastech.com.kronos,,,
Cazar,Gustav,11/6/1986,Tethys,Male,Tethys,BirthNation,11/6/1986,Tethys,6/10/2009,6/9/2019,Engineering,Hydraulic Technician,9/15/2009,Gustav.Cazar@gastech.com.kronos,,,
Frente,Vira,12/29/1977,Tethys,Female,Tethys,BirthNation,12/29/1977,Tethys,2/20/2010,2/19/2020,Engineering,Hydraulic Technician,12/1/2001,Vira.Frente@gastech.com.kronos,,,
